,Unnamed: 0,Title,Paragraph Text,Page No
48,48,PRELIMINARY,of the first class or by a metropolitan magistrate and the provision of to both inclusive of the say code shall a far a may be apply to such trial provided that when in the course of a summary trial under this section it appear to the magistrate that the nature of the case be such that it be for any reason undesirable to try the case summarily the magistrate shall after hearing the party record an order to that effect and thereafter recall any witness who may have be examine and proceed to hear or rehear the case in the manner provided by the say code chapter in respect of core statistic,8
49,49,PRELIMINARY,power in respect of core statistic without prejudice to the provision contain in this act the central government may by notification in the official gazette declare from time to time any subject for the collection of statistic of national importance a core statistic and make such arrangement a it may consider necessary for regulate the collection and dissemination of statistic son the subject so declared chapter,9
50,50,PRELIMINARY,power to give direction the central government may give direction to any state government or union territory administration or to any local government that be to say panchayat a to the carry into execution of this act in the state or union territory or municipality a the case may be,9
51,51,PRELIMINARY,public servant any statistic officer and any person a ut ho rise for the collection of statistics or preparation of official statistic under the provision of this act shall be deem to be a public servant within the meaning of section of the in dian penal code of,9
52,52,PRELIMINARY,bar of jurisdiction no civil court shall have jurisdiction to entertain any suit or proceeding in respect of any matter which the appropriate government or the statistic officer or the agency is em powered by or under this act to determine and no injunction shall be grant by any court or other authority in respect of any action take or to be take in pursuance of any power by or under this act,9
53,53,PRELIMINARY,protection of action take in good faith no suit or other legal proceeding shall lie against the appropriate government or agency or any statistic officer or other officer or employee in respect of anything which be in good faith do or intend to be do in pursuance of this act or or direction issue thereunder,9
54,54,PRELIMINARY,override effect the provision of this act shall have effect notwithstanding anything inconsistent therewith contain in any other law for the time be in force except in relation to the conduct of human population census a per the direction if any issue under the census act of,9
55,55,PRELIMINARY,power to make rule the central government may to the condition of previous publication by notification in the official gazette make rule for carry out the provision of in particular and without prejudice to the generality of the forego power the central government may make rule under this section for all or any of the follow matter na mel ya principle for a effectively a possible to achieve the objective of section nomination and registration of statistic officer by the central government and also to avoid unnecessary duplication in the collection of statistic,9
56,56,PRELIMINARY,in by act of s the and supervision of statistical activity by the nodal officer and the pow ers and duty of the nodal officer under subsection of section the term condition and safeguard under which any person or agency or company or organ is at ion or association may be engage by the appropriate government for the purpose of collection of statistic under subsection of section principle for prescribe the form and manner in which the information may be,9
57,57,PRELIMINARY,require tobe principle for prescribe the manner in which the right of access to document and the right of entry by section may be the manner of use of information under subsection of section an de any other matter which be to be or may be under this every rule make by the central government under this act shall be laid a soon a may be after it be make before each house of parliament while it be in session for a total period of thirty days which may be comprise,9
58,58,PRELIMINARY,in one session or in two or more successive session and if before the expiry of the session immediately follow the session or the successive session aforesaid both ho us es agree in make any modification in the rule or both house agree that the rule should not be made the rule shall thereafter have effect only in such modify form or be of no effect a the case may be so however that any such modification or annulment shall be without prejudice to the validity of anything previously do under that rule,9
59,59,PRELIMINARY,repeal and saving the collection of statistic act of be notwithstanding such repeal anything do or any action take under the say act shall to have be do or take under the correspond provision of this all rule make under the say act shall continue to be in force and operate till new rule a remade under this act,10
60,60,PRELIMINARY,in by act of s,10
